1, Lacamas Lake Heritage Trail,"Lacamas Lake Heritage Trail is a 7.1 mile moderately trafficked out and back trail located near Camas, Washington that features a lake and is good for all skill levels. The trail is primarily used for hiking, walking, running, and nature trips. Dogs are also able to use this trail but must be kept on leash.",Easy, 7.1, 239,out_and_back, 45.622140, -122.436306, null, 3
2, Mount Tabor Loop Trail,"Mount Tabor Loop Trail is a 1.9 mile heavily trafficked loop trail located near Portland, Oregon that features beautiful wild flowers and is good for all skill levels. The trail offers a number of activity options and is best used from March until December. Dogs are also able to use this trail but must be kept on leash.",Easy, 1.9, 213,loop, 45.51231, -122.59280, null, 1
3, Multnomah Falls Trail,"Explore this 2.40 mile, out and back trail near Bridal Veil, Oregon. Generally considered a moderately challenging route, it takes an average of 1 h 31 min to complete. This is a very popular area for hiking, so you'll likely encounter other people while exploring. The trail is open year-round and is beautiful to visit anytime. Dogs are welcome, but must be on a leash.",Moderate, 2.4, 810,out_and_back, 45.5762, -122.1158, null, 1.5
4, Cape Horn Loop Trail,"Cape Horn Loop Trail is a 7.5 mile heavily trafficked loop trail located near Washougal, Washington that features a waterfall and is rated as moderate. The trail is primarily used for hiking, running, and bird watching and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.",Moderate, 7.5, 1587,loop, 45.589368, -122.178807, null, 4
5, Washington Park Loop,"Washington Park Loop is a 4 mile heavily trafficked loop trail located near Portland, Oregon that features beautiful wild flowers and is good for all skill levels. The trail is primarily used for hiking, running, nature trips, and mountain biking and is best used from April until September. Dogs are also able to use this trail.",Easy, 4.0, 393,loop, 45.512640, -122.712736, null, 2 
6, Powell Butte Loop Trail,"Powell Butte Loop Trail is a 6.2 mile heavily trafficked loop trail located near Portland, Oregon that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, running, nature trips, and mountain biking and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",Moderate, 6.2, 951,loop, 45.4870645, -122.5039797, null, 3
7, Lower Macleay Park to Pittock Masion,"Lower Macleay Park to Pittock Mansion is a 5 mile heavily trafficked out and back trail located near Portland, Oregon that features a river and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",Moderate, 5.0, 921,out_and_back, 45.5360, -122.7125, null, 2.4
8, Marquam Trail to Council Crest Hike Trail,"Marquam Trail to Council Crest Hike Trail is a 3.1 mile heavily trafficked out and back trail located near Portland, Oregon that features a river and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",Moderate, 3.1, 748,out_and_back, 45.502341, -122.692423, null, 1.5
9, Burnside Bridge and Tilikum Crossing Loop,"Burnside Bridge and Tilikum Crossing Loop is a 3.6 mile heavily trafficked loop trail located near Portland, Oregon that features a river and is good for all skill levels. The trail is primarily used for walking and running and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.",Easy, 3.6, 95,loop, 45.5049, -122.6671, null, 1.3
10, Oaks Bottom Loop Hike,"Oaks Bottom Loop Hike is a 3.1 mile heavily trafficked loop trail located near Portland, Oregon that features a lake and is good for all skill levels. The trail offers a number of activity options and is best used from May until November. Dogs are also able to use this trail but must be kept on leash.",Easy, 3.1, 219,loop, 45.46949, -122.65931, null, 1.5
